unnamed: 0,id,manufacturer,model,year,battery_type,battery_capacity_kwh,range_km,charging_type,charge_time_hr,price_usd,color,country_of_manufacture,autonomous_level,co2_emissions_g_per_km,safety_rating,units_sold_2024,warranty_years
1,2,Lamborghini,Revuelto (PHEV),2025,Lithium-titanate,90.8,212,Vehicle-to-Home (V2H),7.3,127131.65,White,Netherlands,2.0,0.0,4.0,3349,3
2,3,NIO,ET7,2020,Calcium-ion,64.7,235,Level 2 Charging,8.9,94347.37,Beige,UK,5.0,0.0,5.0,6300,5
3,4,Audi,e-tron,2025,Lithium-iron phosphate,120.5,140,Ultra-Fast Charging (350 kW+),10.5,75615.15,Sunset Orange,Argentina,2.0,0.0,5.0,2339,5
4,5,Acura,ZDX (with GM Ultium),2023,Lithium-titanate,51.8,336,Plug-in Hydrogen Refueling,3.6,141046.94,Ice Silver,United Arab Emirates,2.0,0.0,3.0,1051,4
8,9,Citroen,ë-C4,2023,Aluminum-ion,33.8,420,Solar Charging,10.2,90919.55,Metallic Silver,Sweden,1.0,0.0,5.0,18,5
10,11,Volkswagen,ID.Buzz,2022,Lead-acid,41.5,370,Vehicle-to-Grid (V2G),11.6,141469.62,Stealth Gray,Denmark,3.0,0.0,4.0,16959,4
13,14,BMW,iX3,2025,Flow batteries,32.8,306,Mobile Charging,9.7,43112.28,Metallic Silver,Denmark,1.0,0.0,3.0,2470,4
14,15,Faraday Future,FF 91,2015,Flow batteries,149.9,528,Level 1 Charging,11.6,141164.04,Rose Gold,Belgium,3.0,0.0,3.0,5394,4
18,19,Tesla,Model Y,2024,Zinc-air,149.5,137,Inductive (Wireless) Charging,6.3,45894.79,Teal,China,2.0,0.0,5.0,9912,5
19,20,Faraday Future,FF 91,2025,Calcium-ion,92.1,577,CCS,11.3,46114.93,Orange,France,1.0,0.0,5.0,11235,3
23,24,Faraday Future,FF 91,2019,Nickel-metal hydride,122.4,155,Plug-in Hydrogen Refueling,10.5,133031.19,Crimson Red,Denmark,3.0,0.0,3.0,7304,3
25,26,Chevrolet,Bolt EV,2024,Nickel-cobalt-aluminum,64.9,502,Mobile Charging,5.5,148108.3,Orange,India,1.0,0.0,3.0,17036,5
26,27,Skoda,Elroq (upcoming),2025,Lithium-iron phosphate,67.3,135,Mobile Charging,7.7,109606.5,Orange,Poland,5.0,0.0,4.0,18166,3
27,28,Lucid Motors,Lucid Gravity,2025,Nickel-cobalt-aluminum,108.1,562,NACS,7.6,66113.98,Matte Gray,USA,1.0,0.0,5.0,10559,4
28,29,Geely,Geometry C,2025,Lithium-iron phosphate,86.5,506,NACS,8.1,64054.37,Lime Green,Finland,1.0,0.0,3.0,4828,3
30,31,Porsche,Cayenne Electric (upcoming),2015,Lead-acid,52.4,534,CCS,5.7,126169.99,Lime Green,South Africa,4.0,0.0,4.0,16540,4
33,34,Li Auto,MEGA,2024,Lithium-titanate,22.5,550,Plug-in Hydrogen Refueling,6.0,143129.0,Magenta,India,3.0,0.0,5.0,7226,4
34,35,Volvo,EX30,2021,Nickel-manganese-cobalt,23.8,272,Plug-in Hydrogen Refueling,8.8,130860.68,Gray,Finland,3.0,0.0,3.0,14044,3
37,38,Seat,Avenger,2020,Nickel-metal hydride,98.8,593,CCS,9.4,49651.9,Magenta,France,2.0,0.0,4.0,12997,5
38,39,Lucid Motors,Lucid Air,2024,Lithium-titanate,128.0,224,CCS,8.5,66189.92,Sky Blue,Ireland,4.0,0.0,4.0,12142,3
40,41,Faraday Future,FF 91,2022,Nickel-cobalt-aluminum,127.3,403,Battery Swapping,4.2,59459.42,Green,Portugal,1.0,0.0,5.0,12418,4
42,43,Lamborghini,Revuelto (PHEV),2022,Flow batteries,112.5,329,Level 1 Charging,1.6,56591.57,Ice Silver,Belgium,4.0,0.0,4.0,13942,5
